City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Arlit,NE,79.27,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
8,Butaritari,KI,81.91,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
10,Kaduna,NG,76.33,broken clouds,10.5222,7.4383,HAMDALA HOTEL
29,Atuona,PF,78.73,clear sky,-9.8,-139.0333,Villa Enata
34,Salur,IN,85.06,scattered clouds,18.5333,83.2167,SATYAM NAIDU FARM HOUSE ( సత్యం నాయుడు వ్యవసాయ క్షేత్రం )
37,Haapiti,PF,85.73,moderate rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
41,Gilbues,BR,77.72,overcast clouds,-9.8317,-45.3439,Hotel Camapuã
43,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
44,Hilo,US,83.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
45,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
47,Kapaa,US,80.92,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
48,Luganville,VU,81.77,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
50,Itarema,BR,76.15,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
52,Rosamorada,MX,77.18,clear sky,22.1222,-105.2058,Hotel Gonzalez
59,Rikitea,PF,77.13,scattered clouds,-23.1203,-134.9692,People ThankYou
60,San Pedro Buenavista,MX,80.47,overcast clouds,16.0833,-93.1167,
61,Kiunga,PG,87.51,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
68,Tabuk,PH,85.91,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
78,Puri,IN,84.72,few clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
80,Kanniyakumari,IN,80.06,overcast clouds,8.0833,77.5667,Sparsa Kanyakumari
81,Doka,SD,82.35,broken clouds,13.5167,35.7667,Um Rakuba Refugee Camp
82,Baghdad,IQ,78.49,clear sky,33.3406,44.4009,Baghdad Hotel
83,Samarai,PG,82.85,clear sky,-10.6167,150.6667,Nuli Sapi
97,Batticaloa,LK,82.0,scattered clouds,7.7102,81.6924,Grand Star Guest House
100,Nangong,CN,81.61,clear sky,37.3581,115.3744,7Days Inn Xingtai South Yucai Road
104,Neiba,DO,75.27,overcast clouds,18.5,-71.4167,Ángel David Cuevas Mendez
117,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
119,Araouane,ML,81.66,clear sky,18.9048,-3.5265,
121,Salalah,OM,82.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
124,Chino Valley,US,88.14,clear sky,34.7575,-112.4538,Primrose Inn & Suites
128,Port Moresby,PG,85.42,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
134,Madang,PG,86.77,scattered clouds,-5.2246,145.7966,Comfort Inn Hotel
138,Muli,MV,83.61,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
142,Katherine,AU,86.32,clear sky,-14.4667,132.2667,Pine Tree Motel
145,Kralendijk,BQ,80.58,clear sky,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
157,Laguna,US,87.46,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
158,Mareeba,AU,80.65,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
159,Kulhudhuffushi,MV,81.0,overcast clouds,6.6221,73.07,Haajy Guest House 1
162,Puerto Cabezas,NI,78.62,overcast clouds,14.0351,-83.3888,Cabaña Caribe
170,Kununurra,AU,87.78,clear sky,-15.7667,128.7333,Hotel Kununurra
171,Port Blair,IN,84.81,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
174,Sola,VU,80.55,overcast clouds,-13.8833,167.55,Leumerus Bungalows
176,Phonhong,LA,77.14,overcast clouds,18.5007,102.4166,Manyvong Guest House
177,Malakal,SS,77.77,broken clouds,9.5334,31.6605,Nile Palace Hotel
179,Cayenne,GF,81.09,light rain,4.9333,-52.3333,Hôtel Le Dronmi
183,Chahuites,MX,86.5,clear sky,16.2833,-94.1833,Casa de los hermanos Matus moreno
188,Labuhan,ID,83.75,broken clouds,-6.8844,112.2051,DoubleFAG
190,Faanui,PF,80.78,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
196,Pangai,TO,80.71,few clouds,-19.8,-174.35,Ha'apai Beach Resort
201,Thinadhoo,MV,83.79,overcast clouds,0.5333,72.9333,
202,Bac Lieu,VN,86.74,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
203,Namatanai,PG,85.1,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
206,Vanimo,PG,86.45,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
209,Diffa,NE,82.85,broken clouds,13.3154,12.6113,ProDAF/Diffa
211,Houma,US,79.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
217,Dinajpur,BD,86.99,broken clouds,25.6272,88.6386,Hotel Sahara
221,Bairiki,KI,86.0,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
226,Dawei,MM,77.22,overcast clouds,14.0833,98.2,Hotel Dawei
229,Seminole,US,79.05,moderate rain,28.7086,-81.2081,Ono Hot Dog Cart and Catering
233,Isangel,VU,79.23,scattered clouds,-19.55,169.2667,Tanna Lodge
235,Eyl,SO,82.26,clear sky,7.9803,49.8164,Amiin Hotel
238,Kavieng,PG,83.64,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
