City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cabo San Lucas,MX,22.8909,-109.9124,92.5,16,40,17.27,scattered clouds
1,Ushuaia,AR,-54.8,-68.3,51.46,43,0,0.0,clear sky
2,Puerto Ayora,EC,-0.7393,-90.3518,72.55,97,89,1.99,overcast clouds
3,Hobart,AU,-42.8794,147.3294,52.27,68,75,17.27,light intensity shower rain
4,New Norfolk,AU,-42.7826,147.0587,51.93,67,44,11.48,light rain
5,Saint-Philippe,RE,-21.3585,55.7679,69.39,87,77,11.86,light rain
6,Arlit,NE,18.7369,7.3853,79.27,17,1,3.78,clear sky
7,Barrow,US,71.2906,-156.7887,33.82,80,100,6.91,overcast clouds
8,Butaritari,KI,3.0707,172.7902,81.91,73,38,11.01,scattered clouds
9,Manbij,SY,36.5281,37.9549,58.44,77,0,15.19,clear sky
10,Kaduna,NG,10.5222,7.4383,76.33,66,68,3.87,broken clouds
11,Mahebourg,MU,-20.4081,57.7,73.69,88,40,6.91,scattered clouds
12,Raton,US,36.9034,-104.4391,74.01,17,0,13.8,clear sky
13,Antofagasta,CL,-23.65,-70.4,58.28,78,100,4.25,overcast clouds
14,Mataura,NZ,-46.1927,168.8643,55.47,60,4,2.8,clear sky
15,Sambava,MG,-14.2667,50.1667,71.13,79,4,9.24,clear sky
16,Geraldton,AU,-28.7667,114.6,63.01,63,0,12.66,clear sky
17,Cidreira,BR,-30.1811,-50.2056,59.02,79,97,14.27,overcast clouds
18,Upernavik,GL,72.7868,-56.1549,8.1,92,34,6.62,scattered clouds
19,Tumut,AU,-35.3,148.2167,62.13,61,3,9.78,clear sky
20,Mount Gambier,AU,-37.8333,140.7667,56.88,61,96,13.4,overcast clouds
21,Shelburne,CA,44.0787,-80.2041,66.99,76,100,11.83,overcast clouds
22,Luderitz,NA,-26.6481,15.1594,71.58,27,24,8.25,few clouds
23,Busselton,AU,-33.65,115.3333,59.22,66,97,9.33,overcast clouds
24,Homer,US,59.6425,-151.5483,53.49,52,100,11.5,overcast clouds
25,Mackenzie,CA,55.2999,-123.1698,55.62,47,100,6.91,overcast clouds
26,Torbay,CA,47.6666,-52.7314,32.29,86,75,4.61,broken clouds
27,Cherskiy,RU,68.75,161.3,35.08,84,100,7.31,overcast clouds
28,Ribeira Grande,PT,38.5167,-28.7,57.34,80,17,38.83,light rain
29,Atuona,PF,-9.8,-139.0333,78.73,71,10,15.43,clear sky
30,Tabas,IR,33.5959,56.9244,64.62,17,0,4.61,clear sky
31,Fortuna,US,40.5982,-124.1573,64.92,75,0,16.11,clear sky
32,Albany,US,42.6001,-73.9662,67.03,94,100,3.36,overcast clouds
33,Punta Arenas,CL,-53.15,-70.9167,42.91,75,0,8.05,clear sky
34,Salur,IN,18.5333,83.2167,85.06,75,38,1.48,scattered clouds
35,Kanye,BW,-24.9667,25.3327,53.42,80,56,10.18,broken clouds
36,Saldanha,ZA,-33.0117,17.9442,57.25,43,0,8.5,clear sky
37,Haapiti,PF,-17.5667,-149.8667,85.73,72,61,10.49,moderate rain
38,Mar Del Plata,AR,-38.0023,-57.5575,53.94,79,40,10.36,scattered clouds
39,Tasiilaq,GL,65.6145,-37.6368,33.96,95,100,7.45,light snow
40,Adelaide,AU,-34.9333,138.6,63.41,71,40,12.66,scattered clouds
41,Gilbues,BR,-9.8317,-45.3439,77.72,49,100,2.66,overcast clouds
42,Arraial Do Cabo,BR,-22.9661,-42.0278,73.18,85,7,15.17,clear sky
43,Avarua,CK,-21.2078,-159.775,78.85,65,75,3.44,broken clouds
44,Hilo,US,19.7297,-155.09,83.28,76,75,13.8,broken clouds
45,Vaini,TO,-21.2,-175.2,77.16,73,40,6.91,scattered clouds
46,Rio Gallegos,AR,-51.6226,-69.2181,48.25,71,0,11.5,clear sky
47,Kapaa,US,22.0752,-159.319,80.92,78,0,9.22,clear sky
48,Luganville,VU,-15.5333,167.1667,81.77,68,100,11.25,overcast clouds
49,Kodiak,US,57.79,-152.4072,47.71,66,0,9.22,clear sky
50,Itarema,BR,-2.9248,-39.9167,76.15,92,63,9.31,broken clouds
51,Bredasdorp,ZA,-34.5322,20.0403,53.51,77,0,4.45,clear sky
52,Rosamorada,MX,22.1222,-105.2058,77.18,65,8,3.89,clear sky
53,Lagoa,PT,39.05,-27.9833,56.73,83,1,53.6,clear sky
54,Bambous Virieux,MU,-20.3428,57.7575,73.65,88,40,6.91,moderate rain
55,Sistranda,NO,63.7256,8.834,40.96,58,100,9.78,overcast clouds
56,Bethel,US,41.3712,-73.414,67.33,85,81,4.47,broken clouds
57,Leshukonskoye,RU,64.8989,45.7622,38.3,86,75,8.16,broken clouds
58,Hermanus,ZA,-34.4187,19.2345,58.8,60,0,9.71,clear sky
59,Rikitea,PF,-23.1203,-134.9692,77.13,71,33,18.75,scattered clouds
60,San Pedro Buenavista,MX,16.0833,-93.1167,80.47,52,97,1.25,overcast clouds
61,Kiunga,PG,-6.1219,141.2906,87.51,61,58,1.95,broken clouds
62,Bluff,NZ,-46.6,168.3333,55.8,64,11,7.67,few clouds
63,Te Anau,NZ,-45.4167,167.7167,58.73,62,29,5.26,scattered clouds
64,Norman Wells,CA,65.282,-126.8329,57.24,41,75,18.41,broken clouds
65,Yellowknife,CA,62.456,-114.3525,52.32,40,75,8.05,broken clouds
66,Corinto,GR,37.9407,22.9573,64.42,73,1,3.15,clear sky
67,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,84,75,6.91,broken clouds
68,Tabuk,PH,17.4189,121.4443,85.91,67,95,3.91,overcast clouds
69,Volksrust,ZA,-27.3654,29.8818,43.45,96,1,0.51,clear sky
70,Kachug,RU,53.9606,105.8817,61.16,37,100,3.65,overcast clouds
71,Victoria,HK,22.2855,114.1577,68.25,91,100,8.99,overcast clouds
72,Komsomolskiy,UZ,40.4272,71.7189,59.72,82,1,0.0,clear sky
73,East London,ZA,-33.0153,27.9116,60.93,83,0,7.2,clear sky
74,Naze,JP,28.3667,129.4833,59.92,85,100,12.03,light rain
75,College,US,64.8569,-147.8028,51.75,49,75,10.36,broken clouds
76,Ponta Do Sol,PT,32.6667,-17.1,70.0,84,37,6.15,scattered clouds
77,Kirtipur,NP,27.6667,85.2833,69.73,94,75,0.0,mist
78,Puri,IN,19.8,85.85,84.72,81,12,18.75,few clouds
79,Thompson,CA,55.7435,-97.8558,35.76,93,100,10.36,light intensity drizzle
80,Kanniyakumari,IN,8.0833,77.5667,80.06,84,100,18.25,overcast clouds
81,Doka,SD,13.5167,35.7667,82.35,55,54,13.22,broken clouds
82,Baghdad,IQ,33.3406,44.4009,78.49,43,1,19.71,clear sky
83,Samarai,PG,-10.6167,150.6667,82.85,70,2,5.84,clear sky
84,Cape Town,ZA,-33.9258,18.4232,63.12,93,0,4.61,clear sky
85,Swakopmund,NA,-22.6833,14.5333,59.85,50,0,1.03,clear sky
86,Vostok,RU,46.4856,135.8833,49.19,52,90,10.56,overcast clouds
87,Rakiv Lis,UA,51.6217,24.9243,44.87,84,26,4.18,scattered clouds
88,Aykhal,RU,66.0,111.5,37.26,92,100,3.33,overcast clouds
89,Ayame,CI,5.6083,-3.1563,74.68,97,100,1.16,light rain
90,Port Alfred,ZA,-33.5906,26.891,61.81,82,0,8.55,clear sky
91,Zhanaozen,KZ,43.3,52.8,64.04,46,38,7.27,scattered clouds
92,Ulladulla,AU,-35.35,150.4667,68.77,47,0,8.32,clear sky
93,Qaanaaq,GL,77.484,-69.3632,20.57,74,91,5.32,overcast clouds
94,Provideniya,RU,64.3833,-173.3,39.36,75,40,15.99,scattered clouds
95,Lasa,IT,46.6166,10.7002,61.68,90,96,1.88,overcast clouds
96,Indian Head,US,38.6001,-77.1622,70.25,87,75,11.5,thunderstorm
97,Batticaloa,LK,7.7102,81.6924,82.0,72,47,5.06,scattered clouds
98,Caravelas,BR,-17.7125,-39.2481,73.4,78,100,5.39,overcast clouds
99,Dikson,RU,73.5069,80.5464,34.72,93,100,14.61,overcast clouds
100,Nangong,CN,37.3581,115.3744,81.61,11,0,9.69,clear sky
101,Grand Gaube,MU,-20.0064,57.6608,73.8,89,25,5.99,moderate rain
102,Tokmak,UA,47.2514,35.7058,49.95,86,7,7.18,clear sky
103,Marsa Matruh,EG,31.3525,27.2453,64.6,77,20,5.75,few clouds
104,Neiba,DO,18.5,-71.4167,75.27,82,100,3.4,overcast clouds
105,Lebu,CL,-37.6167,-73.65,53.13,67,100,1.83,overcast clouds
106,Pevek,RU,69.7008,170.3133,28.71,77,94,4.38,overcast clouds
107,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,74.17,98,99,2.13,light rain
108,Gondar,ET,12.6,37.4667,64.98,50,44,3.56,scattered clouds
109,Bajram Curri,AL,42.3554,20.0784,58.84,79,0,2.33,clear sky
110,Mafinga,TZ,-7.25,35.0667,66.0,70,59,3.94,broken clouds
111,Kalamare,BW,-22.9337,26.5703,56.23,92,40,9.62,scattered clouds
112,Kushiro,JP,42.975,144.3747,58.15,54,20,13.8,few clouds
113,Caxias,PT,38.7031,-9.2767,65.95,82,75,10.36,broken clouds
114,Uvat,RU,59.1433,68.8953,54.52,72,62,6.98,broken clouds
115,Egvekinot,RU,66.3167,-179.1667,28.51,84,100,2.24,overcast clouds
116,Jamestown,US,42.097,-79.2353,64.02,69,31,1.99,scattered clouds
117,Georgetown,MY,5.4112,100.3354,80.53,93,20,7.0,few clouds
118,Tonj,SS,7.2737,28.6822,74.07,90,95,5.55,moderate rain
119,Araouane,ML,18.9048,-3.5265,81.66,10,0,5.68,clear sky
120,Calbuco,CL,-41.768,-73.1273,40.21,80,100,6.51,overcast clouds
121,Salalah,OM,17.0151,54.0924,82.49,51,6,6.91,clear sky
122,Rossano,IT,39.5751,16.6349,62.13,72,85,3.11,overcast clouds
