City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vaini,TO,2022-05-15 14:34:26,-21.2,-175.2,60.96,94,20,5.75
1,Along,IN,2022-05-15 14:41:25,28.1667,94.7667,71.42,98,97,1.3
2,Rio Muerto,MX,2022-05-15 14:41:51,27.4167,-110.2333,80.02,43,7,9.33
3,Leh,IN,2022-05-15 14:41:52,34.1667,77.5833,53.47,25,79,8.41
4,Fortuna,US,2022-05-15 14:41:52,40.5982,-124.1573,56.93,97,100,0.0
5,Albany,US,2022-05-15 14:33:33,42.6001,-73.9662,71.64,82,95,3.62
6,Hobart,AU,2022-05-15 14:31:07,-42.8794,147.3294,54.27,79,40,11.5
7,Hermanus,ZA,2022-05-15 14:34:40,-34.4187,19.2345,68.9,51,0,8.86
8,Rikitea,PF,2022-05-15 14:34:32,-23.1203,-134.9692,76.8,71,100,19.33
9,Bengkulu,ID,2022-05-15 14:34:39,-3.8004,102.2655,78.49,90,100,3.2
10,Upernavik,GL,2022-05-15 14:34:27,72.7868,-56.1549,19.62,67,10,0.58
11,Bonavista,CA,2022-05-15 14:37:04,48.6499,-53.1147,34.47,81,96,15.08
12,Ghatal,IN,2022-05-15 14:41:53,22.6667,87.7167,88.16,64,67,18.52
13,Champerico,GT,2022-05-15 14:41:54,14.3,-91.9167,83.59,70,99,3.36
14,Arraial Do Cabo,BR,2022-05-15 14:38:34,-22.9661,-42.0278,76.96,69,75,17.27
15,Atuona,PF,2022-05-15 14:37:12,-9.8,-139.0333,78.46,76,12,18.1
16,Geraldton,AU,2022-05-15 14:41:55,-28.7667,114.6,59.41,82,4,1.14
17,Kaitangata,NZ,2022-05-15 14:34:43,-46.2817,169.8464,42.26,93,11,3.04
18,Bayburt,TR,2022-05-15 14:41:55,40.2589,40.2278,59.43,58,100,6.04
19,Codrington,AU,2022-05-15 14:41:56,-38.2667,141.9667,48.79,83,18,11.45
20,Kefalos,GR,2022-05-15 14:41:56,36.7453,26.9589,71.82,56,0,16.11
21,Berlevag,NO,2022-05-15 14:41:57,70.8578,29.0864,42.6,81,100,13.8
22,Punta Arenas,CL,2022-05-15 14:34:14,-53.15,-70.9167,37.51,93,0,6.91
23,Tautira,PF,2022-05-15 14:41:57,-17.7333,-149.15,80.02,76,26,12.15
24,Ushuaia,AR,2022-05-15 14:33:37,-54.8,-68.3,38.86,93,0,8.05
25,Yellowknife,CA,2022-05-15 14:34:02,62.456,-114.3525,39.72,65,75,11.01
26,Salinopolis,BR,2022-05-15 14:41:58,-0.6136,-47.3561,84.76,70,90,12.41
27,Boguchany,RU,2022-05-15 14:41:58,58.3814,97.4531,57.94,65,92,3.2
28,Qaanaaq,GL,2022-05-15 14:37:21,77.484,-69.3632,24.67,57,100,3.47
29,Hilo,US,2022-05-15 14:33:20,19.7297,-155.09,68.29,92,100,4.61
30,Linqiong,CN,2022-05-15 14:41:59,30.4159,103.4609,60.62,84,34,1.97
31,Baykit,RU,2022-05-15 14:34:33,61.67,96.37,55.36,53,4,2.86
32,Jamestown,US,2022-05-15 14:33:37,42.097,-79.2353,73.06,74,75,8.05
33,Iqaluit,CA,2022-05-15 14:38:31,63.7506,-68.5145,22.73,67,40,13.8
34,Lompoc,US,2022-05-15 14:34:38,34.6391,-120.4579,52.21,95,100,10.36
35,Ibra,OM,2022-05-15 14:42:00,22.6906,58.5334,90.46,11,0,10.13
36,Plouzane,FR,2022-05-15 14:42:00,48.3833,-4.6167,70.12,86,75,3.44
37,Puerto Ayora,EC,2022-05-15 14:38:33,-0.7393,-90.3518,78.76,93,59,1.99
38,Padang,ID,2022-05-15 14:42:01,-0.9492,100.3543,78.85,88,39,3.78
39,Hithadhoo,MV,2022-05-15 14:34:27,-0.6,73.0833,83.66,70,92,10.16
40,Nikolskoye,RU,2022-05-15 14:37:10,59.7035,30.7861,52.88,61,96,9.6
41,Bubaque,GW,2022-05-15 14:42:02,11.2833,-15.8333,79.29,79,91,9.71
42,Victoria,HK,2022-05-15 14:40:46,22.2855,114.1577,72.95,94,100,5.01
43,Izmit,TR,2022-05-15 14:40:46,40.7669,29.9169,76.98,50,40,9.22
44,Winslow,US,2022-05-15 14:42:03,35.0242,-110.6974,55.58,11,0,9.22
45,Clyde River,CA,2022-05-15 14:33:01,70.4692,-68.5914,19.63,86,40,5.75
46,College,US,2022-05-15 14:43:03,64.8569,-147.8028,40.06,68,40,6.91
47,Stokmarknes,NO,2022-05-15 14:43:04,68.5646,14.9108,40.98,81,75,14.97
48,Bambous Virieux,MU,2022-05-15 14:43:04,-20.3428,57.7575,75.45,78,40,3.44
49,Olafsvik,IS,2022-05-15 14:43:04,64.8945,-23.7142,45.75,96,100,12.95
50,Polewali,ID,2022-05-15 14:43:05,-3.4324,119.3435,78.6,90,100,2.84
51,Avarua,CK,2022-05-15 14:43:05,-21.2078,-159.775,69.85,88,75,3.44
52,Constitucion,CL,2022-05-15 14:38:36,-35.3333,-72.4167,60.73,47,72,2.44
53,Cayenne,GF,2022-05-15 14:42:38,4.9333,-52.3333,84.24,1,75,14.97
54,Seoul,KR,2022-05-15 14:43:06,37.5683,126.9778,56.77,45,0,4.61
55,Saldanha,ZA,2022-05-15 14:43:06,-33.0117,17.9442,78.85,66,0,11.05
56,Morehead,US,2022-05-15 14:43:07,37.2711,-87.1764,74.79,78,0,3.44
57,Kristinehamn,SE,2022-05-15 14:43:07,59.3098,14.1081,61.36,40,37,8.01
58,Ponta Delgada,PT,2022-05-15 14:43:08,37.7333,-25.6667,65.12,63,20,20.71
59,Kapaa,US,2022-05-15 14:34:44,22.0752,-159.319,73.72,94,75,11.5
60,Castro,BR,2022-05-15 14:40:05,-24.7911,-50.0119,59.13,93,99,6.82
61,Calderitas,MX,2022-05-15 14:43:08,18.55,-88.25,82.51,65,0,0.0
62,Dali,CN,2022-05-15 14:43:09,25.7,100.1833,60.76,91,73,2.73
63,Aykhal,RU,2022-05-15 14:43:09,66.0,111.5,36.21,92,100,4.21
64,New Norfolk,AU,2022-05-15 14:37:26,-42.7826,147.0587,53.92,79,46,5.99
65,Steinbach,DE,2022-05-15 14:43:10,50.1667,8.5667,80.78,27,0,5.75
66,Hasaki,JP,2022-05-15 14:37:18,35.7333,140.8333,63.0,73,100,8.75
67,Hinton,CA,2022-05-15 14:41:10,53.4001,-117.5857,46.38,57,100,3.51
68,Poum,NC,2022-05-15 14:43:11,-20.2333,164.0167,76.62,73,14,21.07
69,Mataura,NZ,2022-05-15 14:37:09,-46.1927,168.8643,35.47,98,13,2.62
70,Hailar,CN,2022-05-15 14:43:11,49.2,119.7,46.74,38,21,4.16
71,San Pedro,PH,2022-05-15 14:43:12,14.35,121.0167,80.35,92,100,2.3
72,Petatlan,MX,2022-05-15 14:43:12,17.5167,-101.2667,86.49,53,81,4.74
73,Deputatskiy,RU,2022-05-15 14:43:13,69.3,139.9,9.16,99,100,2.84
74,Busselton,AU,2022-05-15 14:34:28,-33.65,115.3333,54.99,76,92,5.19
75,Carnarvon,AU,2022-05-15 14:43:13,-24.8667,113.6333,70.34,36,0,12.97
76,Coquimbo,CL,2022-05-15 14:34:10,-29.9533,-71.3436,53.33,87,100,6.91
77,Ntcheu,MW,2022-05-15 14:43:14,-14.8203,34.6359,65.71,55,40,4.29
78,Cape Town,ZA,2022-05-15 14:38:28,-33.9258,18.4232,73.35,56,0,8.05
79,Fairbanks,US,2022-05-15 14:38:16,64.8378,-147.7164,39.09,68,40,6.91
80,Bembereke,BJ,2022-05-15 14:43:15,10.2283,2.6634,98.01,28,94,7.34
81,Caravelas,BR,2022-05-15 14:37:19,-17.7125,-39.2481,80.22,55,69,7.94
82,Senanga,ZM,2022-05-15 14:43:15,-16.1167,23.2667,80.29,28,23,7.25
83,Airai,TL,2022-05-15 14:42:30,-8.9266,125.4092,61.07,96,87,1.92
84,Broken Hill,AU,2022-05-15 14:43:16,-31.95,141.4333,57.06,47,0,5.57
85,Kahului,US,2022-05-15 14:30:26,20.8947,-156.47,73.85,76,20,8.99
86,Komsomolskiy,UZ,2022-05-15 14:43:17,40.4272,71.7189,68.72,60,99,4.61
87,Bredasdorp,ZA,2022-05-15 14:38:44,-34.5322,20.0403,62.56,72,0,10.31
88,Belgaum,IN,2022-05-15 14:43:18,15.8667,74.5,78.71,73,40,9.22
89,Tabou,CI,2022-05-15 14:34:44,4.423,-7.3528,83.46,77,100,7.43
90,Barrow,US,2022-05-15 14:39:47,71.2906,-156.7887,12.22,85,0,6.91
91,San Rafael,AR,2022-05-15 14:40:43,-34.6177,-68.3301,53.69,28,29,5.28
92,Kavieng,PG,2022-05-15 14:44:18,-2.5744,150.7967,81.21,73,100,6.13
93,Dafeng,CN,2022-05-15 14:44:19,23.4517,108.5881,62.19,79,97,8.46
94,Khatanga,RU,2022-05-15 14:44:19,71.9667,102.5,32.86,99,100,6.8
95,Ayabaca,PE,2022-05-15 14:44:20,-4.6398,-79.7149,55.76,81,91,2.13
96,Butaritari,KI,2022-05-15 14:44:20,3.0707,172.7902,80.55,75,1,5.01
97,Sinnamary,GF,2022-05-15 14:44:21,5.3833,-52.95,81.27,88,99,11.79
98,Namibe,AO,2022-05-15 14:44:21,-15.1961,12.1522,77.7,56,3,11.21
99,Puerto Del Rosario,ES,2022-05-15 14:44:22,28.5004,-13.8627,73.15,68,20,9.22
100,Pijijiapan,MX,2022-05-15 14:44:22,15.7011,-93.23,91.47,40,100,2.28
101,Cabo San Lucas,MX,2022-05-15 14:39:59,22.8909,-109.9124,81.52,46,29,3.71
102,Alta Floresta,BR,2022-05-15 14:44:23,-9.8756,-56.0861,87.62,70,0,2.3
103,Tasiilaq,GL,2022-05-15 14:44:24,65.6145,-37.6368,30.36,97,100,14.32
104,Galdar,ES,2022-05-15 14:44:28,28.147,-15.6502,73.9,64,5,8.72
105,Chernyshkovskiy,RU,2022-05-15 14:44:28,48.4219,42.2308,66.65,54,100,11.32
106,Kodiak,US,2022-05-15 14:43:45,57.79,-152.4072,44.11,49,20,11.5
107,Ugoofaaru,MV,2022-05-15 14:44:29,5.6667,73.0,83.48,75,100,19.08
108,Boende,CD,2022-05-15 14:44:29,-0.2167,20.8667,87.35,58,100,2.46
109,Bluff,NZ,2022-05-15 14:42:16,-46.6,168.3333,35.8,85,17,6.4
110,Vilhena,BR,2022-05-15 14:44:30,-12.7406,-60.1458,84.42,58,20,2.3
